Variable,Level,Control,Treatment,Overall,Missing (Overall)
Number of Individuals,--,120,83,203,
Number of Clusters,--,15,15,30,
Village Proportion of Men who received VMMC,Mean (SD),0.28 (0.05),0.36 (0.07),0.31 (0.07),
Village Proportion of People who received HTC,Mean (SD),0.36 (0.06),0.35 (0.05),0.35 (0.06),
Village Proportion of HIV+ who received ART,Mean (SD),0.88 (0.07),0.93 (0.05),0.9 (0.06),
Outcome 2: Mortality (3-year period),Yes,7 (6%),3 (4%),10 (5%),13 (6%)
,No,101 (94%),79 (96%),180 (95%),
